gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,weekly_max_night_mins,videos_watched,customer_support_calls,churn
0,-0.2646433293928151,-0.9466594113122317,0,0,-1.5087849318062516,0.7222577461345574,-0.944404177247344,-1.4030004760540842,-0.41547304848131417,0
0,0.029654430797836803,1.2350089583410788,0,0,0.3048214999487727,-0.9017477769786048,-0.688522785116321,-0.5991235448844456,0.3475218489633421,0
0,2.5802350191168197,0.6582460560189393,0,0,-2.2666266337819136,0.613990711260347,-0.4838176714115026,-1.4030004760540842,2.6365065412973108,1
0,-1.4418343701554226,0.783629295654187,0,1,0.6381228873041626,-0.25214556773333985,0.07912139127674797,-0.19718507929962625,1.1105167464079984,0
0,0.12775368419472077,2.2882281712771597,0,0,-0.33385099090540926,0.25310059501297755,-0.8932278988211394,1.0086303174548317,-0.41547304848131417,0
1,-0.7551395963772349,-0.8714294675310831,0,0,-0.9464552168267676,0.9027028042582421,0.5397078971125894,0.6066918518700124,1.8735116438526547,1
1,1.5011432317510962,-1.0218893550933803,0,0,-0.3804014639997374,0.0004775136398185308,0.28382650498156636,-0.19718507929962625,-1.1784679459259704,0
0,0.12775368419472077,-1.2475791864368264,0,0,-0.909214838351305,-1.6596170210980807,-0.6373465066901164,1.8125072486244704,2.6365065412973108,1
1,2.187838005529284,2.6393012422558537,0,1,-0.07689237942471805,-0.865658765353868,-1.865577188919027,0.20475338628519307,0.3475218489633421,0
1,-0.7551395963772349,-0.9215827633851822,0,0,0.5822623195909687,0.7583467577592948,-2.1726348594762546,-1.001062010469265,-1.1784679459259704,0
1,-0.46084183618658303,0.35732628089434476,0,1,0.8541170824618448,-0.6491246956054461,-0.023231165575661225,1.8125072486244704,1.8735116438526547,0
1,-0.46084183618658303,0.1817897454049979,0,0,-0.8552162895618844,-1.0461038234775526,-1.0979330125259579,-0.5991235448844456,1.1105167464079984,0
0,-0.8532388497741189,-0.3949731569171417,0,0,-1.9482213978167093,0.7583467577592948,1.7167623009152952,-1.4030004760540842,-0.41547304848131417,0
0,-1.5399336235523067,1.059472422851732,0,0,-0.6429461322517482,0.25310059501297755,-0.22793627928047963,-1.4030004760540842,-0.41547304848131417,0
0,-1.7361321303460746,0.9340891832164844,0,0,0.5375738654204134,0.32527861826245114,1.5120571872104769,0.20475338628519307,-1.1784679459259704,0
1,-0.8532388497741189,0.006253209915651063,0,1,0.7219137388739532,0.6861687345098206,0.846765567669817,-0.19718507929962625,-0.41547304848131417,0
1,0.5201506977822566,-0.3949731569171417,0,0,-0.3804014639997374,-1.0821928351022894,-0.944404177247344,-0.19718507929962625,0.3475218489633421,0
0,0.6182499511791406,-0.018823438011398484,0,0,0.37371620012837853,0.43354565313666227,-0.944404177247344,-1.001062010469265,1.1105167464079984,0
1,0.029654430797836803,0.38240292882139426,0,0,1.2116247158262852,1.2635929205056116,1.2049995166532492,1.4105687830396512,-0.41547304848131417,1
0,1.9916394987355162,2.3634581150583087,0,0,-2.44910448831168,2.8875984436187743,-0.688522785116321,-1.4030004760540842,-0.41547304848131417,0
1,1.7954409919417482,0.10655980162384926,0,0,-0.29288657458240036,0.18092257176350324,0.846765567669817,1.4105687830396512,-0.41547304848131417,0
1,-0.657040342980351,1.7616185648091194,0,0,1.237692980759109,-0.39650161423228775,-0.27911255770668425,1.4105687830396512,-1.1784679459259704,0
0,0.6182499511791406,-0.5955863403335381,0,0,1.5542361978005406,0.43354565313666227,0.027945112850543373,0.20475338628519307,-0.41547304848131417,1
